,Unnamed: 0,participant_id,task_idx,task_status,results_responses,results_rt,results_ind_previous,results_targetvalue,nb_blocks,result_commission_errors,result_clean_rt,HR-nb,HR-rt,result_nb_omission
0,0,15,1,PRE_TEST,"['1', '1', '1', '0', '0', '1', '0', '2', '0', '1', '1', '0', '0', '0', '0', '1', '1', '1', '1', '1', '0', '1', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '1', '1', '1', '0']","['333', '332', '350', '', '', '467', '', '332', '', '417', '400', '', '', '', '', '449', '434', '567', '400', '433', '', '400', '401', '', '', '450', '', '', '', '433', '', '', '466', '399', '433', '']","['1', '2', '6', '5', '4', '4', '3', '4', '5', '2', '0', '5', '5', '3', '2', '4', '1', '1', '6', '4', '1', '2', '2', '5', '3', '2', '0', '5', '4', '4', '3', '1', '6', '2', '2', '3']","['3', '3', '3', '9', '1', '3', '1', '4', '5', '3', '3', '2', '9', '9', '8', '3', '3', '3', '3', '3', '4', '3', '3', '6', '9', '3', '2', '8', '8', '3', '8', '1', '3', '3', '3', '9']",36,1,"[333, 332, 350, 0, 0, 467, 0, 0, 0, 417, 400, 0, 0, 0, 0, 449, 434, 567, 400, 433, 0, 400, 401, 0, 0, 450, 0, 0, 0, 433, 0, 0, 466, 399, 433, 0]",36,420.22222222222223,0
1,1,15,1,POST_TEST,"['1', '1', '2', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '1', '1', '1', '0', '0', '1', '0', '1', '1', '1', '0', '0', '1', '0', '1', '1', '0', '1', '0', '1', '1', '0', '0']","['432', '366', '366', '384', '', '', '384', '', '', '', '416', '', '', '366', '450', '368', '', '', '533', '', '435', '483', '367', '', '', '400', '', '401', '566', '', '599', '', '366', '434', '', '']","['2', '0', '3', '4', '0', '2', '0', '3', '0', '6', '3', '5', '6', '2', '0', '0', '5', '3', '4', '5', '4', '0', '2', '0', '1', '3', '4', '5', '1', '3', '0', '1', '1', '1', '4', '2']","['3', '3', '6', '3', '5', '4', '3', '8', '9', '2', '3', '1', '2', '3', '3', '3', '4', '2', '3', '4', '3', '3', '3', '8', '9', '3', '1', '3', '3', '8', '3', '6', '3', '3', '5', '4']",36,1,"[432, 366, 0, 384, 0, 0, 384, 0, 0, 0, 416, 0, 0, 366, 450, 368, 0, 0, 533, 0, 435, 483, 367, 0, 0, 400, 0, 401, 566, 0, 599, 0, 366, 434, 0, 0]",36,430.55555555555554,0
2,2,51,0,PRE_TEST,"['0', '0', '1', '0', '0', '1', '0', '0', '1', '1', '0', '0', '1', '0', '1', '0', '1', '1', '0', '0', '1', '1', '0', '1', '1', '0', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1']","['', '', '451', '', '', '549', '', '', '533', '683', '', '', '533', '', '550', '', '500', '566', '', '', '566', '533', '', '517', '1000', '', '', '650', '', '501', '533', '', '515', '', '', '546']","['2', '0', '4', '6', '3', '4', '1', '6', '3', '1', '1', '6', '2', '5', '3', '6', '4', '6', '3', '3', '3', '6', '4', '5', '0', '2', '1', '2', '6', '4', '0', '3', '2', '6', '6', '0']","['5', '2', '3', '4', '8', '3', '3', '4', '3', '3', '4', '8', '3', '5', '3', '6', '3', '3', '5', '2', '3', '3', '5', '3', '3', '4', '4', '3', '5', '3', '3', '9', '3', '9', '6', '3']",36,0,"[0, 0, 451, 0, 0, 549, 0, 0, 533, 683, 0, 0, 533, 0, 550, 0, 500, 566, 0, 0, 566, 533, 0, 517, 1000, 0, 0, 650, 0, 501, 533, 0, 515, 0, 0, 546]",36,572.1176470588235,1
3,3,51,0,POST_TEST,"['0', '1', '1', '0', '0', '1', '0', '1', '0', '1', '1', '1', '0', '0', '1', '0', '1', '0', '0', '1', '1', '0', '0', '1', '0', '0', '1', '1', '1', '0', '1', '0', '1', '1', '0', '0']","['', '400', '449', '', '', '416', '', '433', '', '450', '450', '484', '', '', '616', '', '466', '', '', '416', '450', '', '', '432', '', '', '450', '416', '450', '', '450', '', '450', '450', '', '']","['4', '6', '5', '1', '2', '0', '4', '4', '5', '5', '6', '3', '5', '2', '1', '0', '0', '3', '2', '1', '4', '4', '5', '2', '6', '5', '1', '4', '3', '0', '6', '1', '0', '5', '3', '1']","['5', '3', '3', '9', '4', '3', '2', '3', '5', '3', '3', '3', '2', '1', '3', '1', '3', '6', '4', '3', '3', '1', '1', '3', '6', '4', '3', '3', '3', '9', '3', '8', '3', '3', '5', '2']",36,0,"[0, 400, 449, 0, 0, 416, 0, 433, 0, 450, 450, 484, 0, 0, 616, 0, 466, 0, 0, 416, 450, 0, 0, 432, 0, 0, 450, 416, 450, 0, 450, 0, 450, 450, 0, 0]",36,451.55555555555554,0
4,4,48,5,PRE_TEST,"['0', '0', '0', '1', '0', '1', '0', '1', '1', '0', '0', '1', '0', '1', '0', '1', '0', '0', '1', '1', '0', '0', '0', '1', '0', '0', '1', '1', '0', '1', '1', '1', '0', '0', '0', '1']","['', '', '', '517', '', '483', '', '482', '483', '', '', '517', '', '500', '', '517', '', '', '517', '534', '', '', '', '550', '', '', '584', '500', '', '500', '583', '501', '', '', '', '617']","['2', '0', '2', '2', '1', '2', '1', '6', '2', '1', '3', '3', '6', '0', '2', '2', '0', '1', '2', '5', '5', '6', '0', '3', '5', '6', '0', '5', '1', '2', '2', '3', '2', '5', '6', '0']","['1', '4', '5', '3', '5', '3', '9', '3', '3', '9', '5', '3', '3', '3', '1', '3', '8', '5', '3', '3', '4', '4', '4', '3', '3', '5', '3', '3', '4', '3', '3', '3', '2', '9', '5', '3']",36,0,"[0, 0, 0, 517, 0, 483, 0, 482, 483, 0, 0, 517, 0, 500, 0, 517, 0, 0, 517, 534, 0, 0, 0, 550, 0, 0, 584, 500, 0, 500, 583, 501, 0, 0, 0, 617]",36,524.0625,2
5,5,48,5,POST_TEST,"['0', '1', '1', '1', '1', '1', '0', '0', '1', '0', '0', '1', '1', '1', '0', '0', '0', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '1', '0', '1', '0', '0', '1', '0', '1', '1']","['', '567', '633', '566', '550', '533', '', '', '533', '', '', '583', '617', '567', '', '', '', '', '', '700', '483', '', '667', '', '634', '', '', '550', '', '633', '', '', '533', '', '617', '583']","['0', '0', '3', '3', '4', '1', '0', '2', '2', '5', '5', '4', '0', '5', '5', '1', '1', '6', '5', '2', '1', '5', '0', '0', '4', '2', '4', '1', '0', '2', '0', '0', '6', '2', '1', '3']","['4', '3', '3', '3', '3', '3', '5', '2', '3', '6', '8', '3', '3', '3', '4', '9', '5', '9', '6', '3', '3', '1', '3', '8', '3', '8', '6', '3', '2', '3', '8', '1', '3', '5', '3', '3']",36,0,"[0, 567, 633, 566, 550, 533, 0, 0, 533, 0, 0, 583, 617, 567, 0, 0, 0, 0, 0, 700, 483, 0, 667, 0, 634, 0, 0, 550, 0, 633, 0, 0, 533, 0, 617, 583]",36,586.0555555555555,0
6,6,68,6,PRE_TEST,"['2', '0', '1', '1', '0', '1', '0', '1', '0', '1', '0', '1', '0', '1', '0', '0', '0', '1', '0', '1', '0', '1', '1', '0', '0', '1', '1', '1', '0', '1', '0', '0', '1', '0', '1', '1']","['401', '', '447', '438', '', '483', '', '452', '', '498', '', '500', '', '482', '', '', '', '446', '', '467', '', '451', '483', '', '', '472', '483', '450', '', '467', '', '', '462', '', '451', '470']","['1', '3', '2', '5', '6', '2', '3', '6', '3', '2', '2', '3', '6', '0', '6', '1', '5', '5', '4', '5', '4', '2', '4', '0', '3', '0', '1', '0', '6', '4', '4', '4', '2', '6', '4', '1']","['6', '6', '3', '3', '5', '3', '8', '3', '5', '3', '9', '3', '6', '3', '6', '4', '4', '3', '5', '3', '4', '3', '3', '9', '6', '3', '3', '3', '5', '3', '4', '5', '3', '2', '3', '3']",36,1,"[0, 0, 447, 438, 0, 483, 0, 452, 0, 498, 0, 500, 0, 482, 0, 0, 0, 446, 0, 467, 0, 451, 483, 0, 0, 472, 483, 450, 0, 467, 0, 0, 462, 0, 451, 470]",36,466.77777777777777,0
7,7,68,6,POST_TEST,"['1', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '1', '1', '0', '1', '1', '0', '0', '0', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '0', '1', '0', '1', '1', '0', '0']","['485', '', '', '452', '518', '', '', '465', '517', '', '433', '499', '498', '', '417', '434', '', '', '', '', '', '433', '466', '493', '482', '', '', '', '', '', '481', '', '586', '451', '', '']","['1', '6', '5', '4', '2', '3', '4', '3', '5', '1', '6', '5', '6', '0', '3', '0', '0', '4', '5', '1', '0', '6', '3', '2', '3', '0', '0', '4', '4', '5', '2', '2', '3', '2', '4', '3']","['3', '8', '6', '3', '3', '5', '4', '3', '3', '9', '3', '3', '3', '5', '3', '3', '8', '4', '6', '8', '2', '3', '3', '3', '3', '9', '5', '1', '2', '2', '3', '9', '3', '3', '3', '9']",36,0,"[485, 0, 0, 452, 518, 0, 0, 465, 517, 0, 433, 499, 498, 0, 417, 434, 0, 0, 0, 0, 0, 433, 466, 493, 482, 0, 0, 0, 0, 0, 481, 0, 586, 451, 0, 0]",36,477.05882352941177,1
8,8,70,5,PRE_TEST,"['1', '0', '0', '0', '0', '1', '1', '0', '1', '1', '1', '1', '0', '0', '0', '1', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '1', '0', '1', '1', '0', '1', '1', '1', '1']","['484', '', '', '', '', '482', '450', '', '450', '465', '432', '499', '', '', '', '601', '500', '', '', '', '', '468', '', '', '', '', '616', '533', '', '467', '466', '', '533', '484', '501', '467']","['2', '1', '0', '3', '3', '0', '1', '6', '4', '5', '2', '5', '6', '4', '6', '3', '1', '6', '6', '6', '2', '3', '4', '1', '0', '4', '5', '0', '5', '6', '4', '4', '6', '3', '3', '6']","['3', '8', '9', '4', '4', '3', '3', '1', '3', '3', '3', '3', '6', '9', '1', '3', '3', '2', '6', '9', '6', '3', '5', '6', '1', '5', '3', '3', '1', '3', '3', '8', '3', '3', '3', '3']",36,0,"[484, 0, 0, 0, 0, 482, 450, 0, 450, 465, 432, 499, 0, 0, 0, 601, 500, 0, 0, 0, 0, 468, 0, 0, 0, 0, 616, 533, 0, 467, 466, 0, 533, 484, 501, 467]",36,494.3333333333333,0
9,9,70,5,POST_TEST,"['0', '1', '1', '0', '0', '1', '1', '0', '0', '1', '1', '0', '0', '0', '1', '1', '0', '0', '1', '0', '0', '0', '0', '1', '1', '1', '1', '1', '1', '0', '0', '1', '0', '0', '1', '1']","['', '499', '466', '', '', '532', '533', '', '', '468', '516', '', '', '', '515', '482', '', '', '500', '', '', '', '', '566', '517', '500', '449', '518', '517', '', '', '501', '', '', '481', '501']","['3', '3', '1', '0', '1', '1', '5', '1', '2', '0', '0', '2', '6', '5', '2', '3', '0', '5', '0', '5', '4', '5', '4', '2', '2', '5', '1', '2', '0', '2', '4', '5', '6', '4', '0', '0']","['5', '3', '3', '5', '9', '3', '3', '6', '5', '3', '3', '8', '9', '2', '3', '3', '4', '4', '3', '8', '6', '2', '8', '3', '3', '3', '3', '3', '3', '4', '4', '3', '9', '8', '3', '3']",36,0,"[0, 499, 466, 0, 0, 532, 533, 0, 0, 468, 516, 0, 0, 0, 515, 482, 0, 0, 500, 0, 0, 0, 0, 566, 517, 500, 449, 518, 517, 0, 0, 501, 0, 0, 481, 501]",36,503.3888888888889,0
